,control_day3,covid_day3,chi
22742,1239.2808499999999,522.27234835,984.3546055282516
19603,464.47891174999995,120.3736721,983.6737044643493
10976,403.49663745,96.7050107,973.2805111401668
9267,52.49568247,2.6008590055000003,957.1812248526824
30635,1012.2097256,397.3385096,951.4975345478535
27604,52.155642522499996,2.6008590055000003,944.1790440095945
22997,1927.4852740000001,973.21604445,935.6912760111563
29876,4718.3727825,3042.6264495000005,922.9282066565902
28720,1418.4065135,646.67122195,920.9863374279131
31742,458.80484205,1711.47384555,916.8586691579917
31651,610.3930759,1938.12832501,909.5790350827766
17712,1042.60001625,2562.2820685,901.3190110184672
32012,172.08855276500003,24.27468405,900.0710262383526
16514,3939.902567,2457.358331,894.4309765366589
12741,41.017925885,1.7339060035,890.0333783578637
24143,3102.7264569999998,1829.212005,886.6326347190463
24407,833.7814298000001,310.15221755000005,884.0418878428734
16433,28.49699883,0.866953002,880.5776445738408
7048,1343.94941985,2948.1052723,872.8711362949338
731,493.4398478,142.47209149000003,864.5789128316494
23343,1436.0712595,676.147624,854.0796584852557
1846,530.1986518,160.51444055000002,851.427544956388
16368,4938.2975185,3270.1487565,850.9460881958292
20123,27.799630954999998,0.866953002,836.6879635304754
10861,215.46370755,38.194565275,822.7439840369854
26603,1160.486924,514.52306445,810.9827074336749
8759,4698.0858105,3112.91138,807.2115355596786
16698,914.6416129500001,369.44545405,804.5540916009927
3581,889.8186542445,355.760294295,801.714908621713
6727,2049.513212,1114.2105002,785.12198776031
31715,1064.0915563,2449.666125,783.7055286169625
8230,26.744935149999996,0.866953002,772.4409033792198
8780,26.744935149999996,0.866953002,772.4409033792198
7729,4379.817968,2886.623542,772.4005438868796
21713,2160.2304249999997,1199.729284,768.9755131977768
27333,1985.415876,1077.0025785,766.2142464172601
15821,3328.4979295000003,2071.609094,762.5809084252586
13387,263.0662896,1219.9610023,750.5547222140214
8127,3328.791868,2081.265267,747.777155021639
16591,73.33027869,6.06867101,745.488404338174
1719,446.41938035,1499.2488792999998,739.3368567177743
11520,328.79755495,82.2941376,738.3750111165668
30641,992.0177518999999,429.5439059,736.5413013394856
21266,2513.6692864999995,1472.7484220000001,735.7103426259356
21993,26.07926193,0.866953002,733.2122041384991
28703,805.14324595,321.51987295,727.456019330631
20758,15.990478429,757.8133146499999,726.1697699163917
11152,25.721933999999997,0.866953002,712.576205383439
2448,435.12602905,130.40114705000002,712.0892400916492
20665,210.95674839999998,40.95908824,705.5626895437662
20782,1116.9418132,514.7662304,704.4273907376339
13897,316.39188119999994,80.13563729,696.5317139048534
8000,1742.5241865,935.5742087499999,696.0092107078682
21029,2744.204285,1669.1661325,692.3858607169607
23405,446.89484295,138.4160212,687.4867709914225
30611,669.4042625,252.7032579,687.1289617617912
28728,741.35421215,292.9590571,686.3014137968207
7770,2824.0644315,1738.8898895,677.2158454170537
3462,25.036091455,0.866953002,673.7934492558379
8355,1336.6847695000001,667.72125995,670.2080702701656
23335,84.770577965,8.66953002,668.0142389456989
1579,781.5076528499999,319.83460015,666.4132257403509
16646,2814.8575069999997,1739.2611904999999,665.1717651077939
2773,1405.920162,716.1069641,664.4848770533334
30538,2427.4579145000002,1450.128142,658.6821237035907
23361,2467.8158865,1481.1570215,657.253553642279
30741,74.408025154,6.935624015,656.3973055079355
12397,1543.2843025500001,814.6833357500001,651.6143703039954
17118,590.4287702,216.04806585000003,648.7487459707895
17768,1858.794539,1039.5421714,645.6442656042551
16409,3804.4372245000004,2528.373635,644.0259706503489
23585,401.67254045000004,1318.02395795,637.0900280601073
7838,1182.4741815,576.6603259000001,636.4412655997104
31349,1875.035736,1057.0093667,633.0758855612513
16691,1955.881384,1116.4269539,631.1955634471681
8218,1207.193284,596.7021712999999,624.5986969910062
25861,1226.5841186,611.6349051,618.2814813723564
17606,34.424625750000004,1.7339060035,616.344343572835
11499,358.27721635,104.7198849,613.9361248671995
20664,671.0064969,266.90183385,611.837604647294
30271,2757.2639354999997,1729.8004250000001,610.2907885509293
27491,546.3331969000001,198.47894428,609.649459315528
20896,2496.5262755,1531.04191035,608.8403283068874
47,209.95967922,44.966525325000006,605.4001423384195
19805,460.29182319999995,154.72446425,603.4689556579164
26348,2194.9258535,1310.9995118999998,595.9771687801802
31297,818.92920605,1873.8680920499999,593.9030916404685
15137,534.4750617,194.98026345,591.1199215728016
28597,1999.2883184999998,1168.45257835,590.7711103563743
29873,1619.925745,893.5536347,590.4698074434182
28698,33.72149521,1.7339060035,590.1161084732327
25359,1103.7177132,540.44749255,587.056736953492
30471,47.24813543,3.3041480460000003,584.4393169800329
24337,485.04833995,169.92278835,584.4072724763774
29149,112.95923151,16.14477911,580.561562945525
1238,677.2453504500002,277.56620025,575.5146806805569
18800,854.6852211500001,384.9533417,573.1812525570534
