,control_day7,covid_day7,chi
7576,45882.819665,12355.175664999999,90982.34963790263
30274,29529.284485000004,7572.441294999999,63665.46059440263
9654,31258.45389,9147.735023500001,53443.16243720272
30272,14882.996309999999,3309.678648,40469.693873905395
30949,15064.168389999999,4059.8333225,29827.675339942525
124,13025.751475000001,3577.9513909999996,24947.495556188358
11973,28637.233555000003,11824.936429500001,23903.158915167813
22731,31412.268515,14696.39977,19012.837992502966
31879,20341.76739,8137.976883,18300.924772821494
13533,21318.86486,8715.758613,18224.264131897253
15603,15651.503335,6008.268224,15477.33555478883
16609,6344.5700565,1600.9227004999998,14055.763111521817
25636,59.78398532,0.256661294,13806.142135698878
1417,10589.102049000001,3576.87096,13747.039072815234
1664,18443.087714999998,7997.3991545,13643.486763014054
30861,10370.331302999999,3536.6502689999998,13204.358057053703
20790,8956.3563305,2838.509611,13185.810024476583
30273,1836.5207965,205.69067325,12930.128765085416
21741,11064.150454499999,3987.7917075,12557.03827811909
23905,10297.868395000001,3828.4515165000003,10932.18878897632
29880,3256.5789465,663.80371995,10127.215581012057
27645,16277.183663,7545.2534805000005,10105.240984826645
19804,8260.0430575,2921.9527215,9752.111396473389
25656,1213.37727214,123.44417494000001,9623.412015588336
24489,3795.184173,915.2962848999999,9061.27817281724
21977,6926.2211465,2388.0804795,8623.964263462003
25188,4098.750875,1128.90583115,7812.856786730935
12391,14355.05547,6987.757195,7767.454185679953
21000,14129.55518,6886.046785,7619.526196471443
30859,5367.2674425000005,1767.8549240000002,7328.525832323621
26600,15686.149935000001,8072.879156999999,7179.8290067168855
24748,3614.1732730000003,993.03517005,6918.551489360038
27473,5252.272593,1764.886451,6891.016754376817
689,5090.141261500001,1713.33858,6655.308228561336
9276,695.4286361,60.897138319999996,6611.644369218205
1923,5170.9558755,1847.410488,5979.15515502504
8759,5973.9500005,2341.1198385,5637.240250970155
17980,4108.245926,1358.243549,5567.862316794003
331,4175.078502,12510.612369500002,5553.774891597606
1546,6092.637421,2439.344327,5471.367974968176
15621,18264.340635,10654.2175715,5435.779084945135
28088,2804.113466,782.01853725,5228.607387307131
13463,8557.058035499998,4003.0352169999996,5180.849707078326
16577,1775.7943395000002,382.27081405,5079.926964365637
5376,7333.686862,3310.403221,4889.679647861306
26878,2109.458408,520.4329092,4851.733991453338
29429,3284.90609,1039.6289843,4849.104206896407
31543,10553.940279,5436.156043999999,4818.05806603416
18308,3033.654404,939.17934915,4670.913771005704
10945,1820.7047325,433.28318855,4442.679964248066
8064,11758.097451,6420.2702295,4437.8816510976285
24617,4301.716869,1624.7872475000001,4410.394166676354
30584,3055.6002740000004,978.3654893999999,4410.319453314324
9646,2338.2256660000003,653.8380427,4339.242259153765
25886,7905.264227,3838.6764489999996,4308.030743379534
16871,5572.273353500001,2386.3750285,4253.291295801794
7729,5545.0543375,2379.958496,4209.246380858143
2740,217.23271427,10.411885319,4108.271842941032
24599,3593.9536095000003,1311.319473,3973.416629888712
3539,2955.9404605,984.2209293000001,3950.0053229721
1096,4063.425532,1596.3148295,3812.929070073544
20640,3452.4486699999998,1268.314197,3761.2473371588294
25672,1774.4124315000001,461.50968,3734.9457868278546
2644,3208.089042,1143.22378045,3729.5135224336123
10441,12380.231530000001,7208.9788235,3709.520475675398
13122,5469.263166000001,2457.2837245,3691.8895712234453
20788,690.4594516999999,95.93258460999999,3684.4852781648674
19344,252.95442599999996,15.4302269525,3656.313371594032
753,1120.4269905,221.21254814999998,3655.2474988106674
23331,6644.228870499999,3219.4892135,3643.075326684418
11704,3293.3223465,1216.72055855,3544.1786163753122
11521,3281.3687975000003,1210.8980270000002,3540.2231368032967
23213,4272.6362735,1769.922841,3538.8969395281865
15291,2568.522989,847.0428982999999,3498.6347310439173
26102,9550.5226895,5276.652607,3461.6577672475446
14304,3518.7640695,1362.6091505,3411.839728965549
23631,2318.283869,741.2203612,3355.451951708259
12903,1467.4317545,363.83790845,3347.4229835696246
29769,11891.6956445,7061.915916,3303.1789819217
14557,1101.01652845,231.29204744999998,3270.4136661431908
25034,78.06002221,1.7966290569999999,3237.2320332616364
21894,5059.7713695,2323.5992859999997,3222.0003318268946
29079,40.62624503,0.5133225875,3134.571877529196
7788,4178.439355500001,1806.915211,3112.557099363784
25958,3000.7090885,1131.523635,3087.7430674048624
13750,2818.498485,1033.1442756499998,3085.2318770661186
29241,10283.415065000001,6016.730734,3025.662271626751
61,3580.4823564999997,1487.665361,2944.1318534898955
7931,5608.5057485,2772.4129595,2901.235286848614
41,2049.62025,665.1825659000001,2881.416019319292
5781,240.8625715,17.45296798,2859.791583996454
7171,168.7516097,8.956252483,2851.031303167945
2049,2139.8946130000004,6413.886472,2848.0401844565536
6552,806.9224447500001,151.3823936,2838.7235030596366
12921,1544.591948,436.28350785,2815.4802471471103
2750,1450.1593825,395.6419698,2810.639564477019
26441,2564.4592965,944.5974263500001,2777.8526652407018
5418,5278.4674115,2595.461273,2773.503890854888
4697,2873.8476554999997,1122.739709,2731.1575565690146
15226,2418.4563664999996,878.7673434000001,2697.6904702472025
27469,5945.346465500001,3069.9535779999997,2693.1626317528617
16809,3654.1104975,1588.281542,2686.9601896955255
2158,10378.772397,6323.164739,2601.221722752312
2555,7907.881564,4511.55437,2556.776991408377
11027,4872.0622465,2404.3308195,2532.803866428771
9671,2544.8907245,977.6380865000001,2512.4643415965757
25510,1363.5395581999999,391.46933679999995,2413.779130331735
12099,2262.7104790000003,840.2986986999999,2407.781037702822
21685,5428.384097,2826.9232875,2393.9801880330992
27976,43.63723806,0.7699838815000001,2386.5453874492896
7740,2714.0631184999997,1102.6357930000001,2354.9915954597363
29821,2148.067999,792.5891851499999,2318.127535954813
23336,3090.5061885000005,1335.3821765,2306.800518764433
18255,1897.0194735,661.7065514,2306.1552168081507
30599,1475.5194299999998,454.23776665,2296.1900407074886
22662,2083.2418015,767.73821505,2254.088245236181
24020,6143.7516985,3383.318622,2252.223813709514
17729,86.207211645,3.0799355260000003,2243.600223651067
2792,296.42475405000005,31.346883684999998,2241.571381172647
27864,4718.752442000001,2401.90964,2234.7887196868974
1775,2764.7966269999997,1159.94675155,2220.39772023178
17867,48.66373233,1.0266451755,2210.3956914425
7076,3320.40599,1502.5478245,2199.3365242631758
21411,23.7751829255,0.256661294,2155.0614473693627
31622,58.632689365,2258.985977765,2143.242428871932
20522,2421.2976175,976.10177505,2139.7266928725526
28990,4228.435960000001,2110.491501,2125.423736263985
18158,1981.1878195,735.43911375,2110.154068315352
21058,6394.0730525,3638.9064409999996,2086.05062542865
6968,1690.502047,587.65386975,2069.711720916728
8830,9868.848586,6275.67049,2057.2987141608482
28429,32.921950425000006,0.5133225875,2046.1191147361703
31349,2269.157862,908.1635542500001,2039.6166495115672
21633,1770.4987780000001,634.2500438,2035.5712996658729
4126,2205.412341,873.3079826000001,2031.9315259036725
20757,80.03057440999999,2184.77170445,2027.6421630045136
22509,2066.7466695000003,797.5315671000001,2019.8661001192147
18369,3474.0116849999995,1655.404604,1997.8993093723077
2610,4428.117384,2295.6299255,1980.9389615224331
24369,143.66408745,9.23980658,1955.6564448578156
23575,2142.148797,852.28499255,1952.1036373670777
24657,5294.3388015,2911.2079805,1950.843961696173
25864,3283.4227545000003,1549.744486,1939.4425118600866
30048,971.0741098000001,260.46580285,1938.6965980987147
