,control_day14,covid_day14,chi
6215,1243708.3072594998,3826.9430348,401705952.60298765
689,442739.9256015,828.14861385,235810355.01890498
7698,46336.10858445,18.9810225065,113022167.52836691
25656,558147.4413139999,2895.5929629999996,106473740.97006394
3744,721784.2079250001,5161.516992,99495571.15786284
7576,491281.643475,6331.938609500001,37141266.009164
28913,9887.559376844,20.959173993500002,4644734.54884626
14467,1657.166310076,0.7191909175,3815144.2013566494
3262,318.4736855885,0.10113151699999999,1002269.9766879816
28610,156.531989377,0.0337105055,726530.5259139996
7116,2961.1419302645,13.4516964505,645931.7415090397
7216,3221.75603916,16.283880878500003,630995.2666802085
30877,4617.72152959,44.51345458,469840.68737575534
6419,123.4747667535,0.0337105055,452016.1932197042
5455,758.431720677,1.3148101115,435976.276156169
7575,692.1300938385,1.1575278820000001,412467.8932826862
29773,1054.3992518745001,3.8657390245000003,285487.6272367365
11790,541.7939742530001,1.0788365720000002,271007.55360505416
24510,2367.8714308500003,22.6218575065,243136.3366022213
23439,1235.2280485175002,6.8661748105000004,219754.51170709336
2587,587.8044818345,1.685525283,203815.05676234892
1090,4261.1364040749995,85.609773515,203656.91820760266
16282,75.50498673850001,0.0337105055,168965.53319966656
16383,827.3538912035,4.259095185,159067.83337896597
20468,288.7545885015,0.5393680905,154009.87700172694
10517,69.9455345,0.0337105055,144989.31599343548
26192,167.61345746499998,0.20226303399999998,138564.65744904272
11147,1215.3987481579998,13.878562336,104020.19474257834
13204,198.94231715350003,0.41579636649999996,94788.65769691895
14497,55.295031527000006,0.0337105055,90589.37431363286
21971,163.81980455000001,0.3483753555,76707.2289730105
31763,339.432367618,1.8092977885000001,63001.976792111374
936,46.091671707,0.0337105055,62928.03262884563
3558,208.819531045,0.77534163,55823.630609573214
11148,440.81907082149996,3.4386723595,55632.40488157298
21622,54.951813063,0.0674210115,44678.897925801015
426,36.81343922,0.0337105055,40128.39393085387
27527,62.65771937700001,0.10113151699999999,38695.42157353282
13030,187.93572174200003,0.9438941584999999,37044.347894454535
15117,35.085076275,0.0337105055,36445.559747161795
31881,60.7796110385,0.10113151699999999,36406.82930763409
21060,188.27264878750003,0.9664347565,36302.10687132587
23438,456.80469923999993,5.7535273415,35360.42284939755
15876,48.231834374,0.0674210115,34407.830184419116
18804,33.1695316385,0.0337105055,32570.933774878264
31535,17936.8770755,5264.688583,30502.15765999648
25753,128.95934631499998,0.5619086885,29339.112077194637
21880,92.14590706499999,0.3483753555,24188.814435114822
7119,2909.12840186,291.65174434,23490.975746317294
20457,55.295031527000006,0.1348420225,22564.527361434026
30159,27.610079415,0.0337105055,22558.431294743958
17262,47.85747099,0.10113151699999999,22551.505480338226
23133,945.0757326085001,37.55731816,21928.873330478487
215,198.5840205,20626.58434778,20231.32818964597
18978,36.888311897,0.0674210115,20109.131789010564
6664,36.81343922,0.0674210115,20027.43394289499
11575,51.651123915,0.1348420225,19681.75240049906
18534,25.769407455,0.0337105055,19647.468575530664
15167,25.769407455,0.0337105055,19647.468575530664
7558,9592.9862105,35095.580879999994,18531.74441251219
8378,34.97276726,0.0674210115,18071.26843132089
16231,4294.04835345,713.7198980000001,17960.479853267283
3572,25544.652125000004,57601.736028,17840.723200850076
21076,23.928735495,0.0337105055,16937.51579159291
16384,263.13492640500004,4.1018129555,16358.170055846069
31764,33.132095299999996,0.0674210115,16215.607886639205
20469,145.7500119955,1.382231123,15078.560891332334
434,31.366296017,0.0674210115,14529.885488441725
16323,22.088063535,0.0337105055,14428.572942930678
7552,22.088063535,0.0337105055,14428.572942930678
29700,29.45075138,0.0674210115,12805.801697953084
3108,57.0982671385,0.28095434399999997,11490.148140183423
1742,27.610079415,0.0674210115,11251.656049863464
31679,4284.926011500001,1019.7777738999999,10454.427706077691
12222,18.706210317,0.0337105055,10342.836573912175
12021,95.902123692,0.876573538,10301.309348982844
6666,42.3728914435,0.20226303399999998,8792.32287424369
26107,394.37097405500003,16.396483477,8713.131430169198
20800,29.6753694105,0.10113151699999999,8648.496264337966
25602,78.05694911799999,0.7191909175,8316.468823424768
18091,16.566047649999998,0.0337105055,8107.804003692982
16348,138.0066693435,2.371106086,7758.828729259684
13678,27.947006460500003,0.10113151699999999,7667.172157311172
904,31.7032230625,0.1348420225,7390.594289600126
24137,143.94677633399996,2.7869024524999997,7149.9129710715915
8342,68.666407626,0.685480412,6741.850509471837
31536,8788.121723999999,20308.0242215,6534.764391870743
31290,353.349327395,17.55310784,6423.88243126237
21927,193.60119157749997,5.528924492,6397.4788763817405
24147,4492.6909735,13722.881386500001,6208.347406110337
12189,11311.1464475,23131.687677,6040.423721319702
23890,20.24739157,0.0674210115,6040.123140868732
7117,670.8156106085,69.327699638,5218.515960182711
15185,29.7876784255,0.16855252850000002,5204.861811980091
18325,13.184194437,0.0337105055,5130.009920279591
29653,26.405825208,0.1348420225,5118.3195322720985
31813,1562.9947368500002,310.53289305,5051.5121112220495
7549,12.88470373,0.0337105055,4899.007724940372
15915,12.88470373,0.0337105055,4899.007724940372
13128,58.371102644,0.707920619,4696.914416683041
19464,328.9851337,5135.956808885,4499.059775202303
26399,4085.5119910000003,11060.147285,4398.272123399707
8064,1815.3376999000002,443.53203429,4242.87455856968
29260,1065.1532563,186.38789556,4143.126123702142
17182,20.24739157,0.10113151699999999,4013.3066937293515
30772,1339.21450075,281.52624455,3973.7128205989025
25821,51.651123915,0.6630402055,3921.006085002758
6662,56.642739709500006,0.8090521359999999,3853.151767780772
22796,2001.6879940000001,7257.9531074999995,3806.627369202408
19024,11.2686497955,0.0337105055,3744.347911068426
30856,1094.4144353,5706.896209500001,3727.943760727892
20822,10190.5627805,5619.1717,3718.9852039714256
29617,3672.5028125000003,1395.17498565,3717.255601833435
5406,35.4968759975,0.3371050565,3667.134232451325
6595,11.118904442,0.0337105055,3645.1997022060777
10935,35.197385290499994,0.3371050565,3604.9270533354065
22702,11.044031765,0.0337105055,3596.1244852112245
25843,6175.136640999999,12897.479879499999,3503.7774075565026
21548,43.084181873,0.5393680905,3355.892222155107
11613,75.50498673850001,1.6744557660000001,3255.3546139368627
25223,14.837684705,0.0674210115,3235.796745285025
2576,93.2689972175,2.573268729,3196.6016892671414
12135,14.72537569,0.0674210115,3186.7756145568956
30765,190.632126511,10.2827081365,3163.16599442951
20241,31.29142334,0.31466484949999995,3049.4653854839416
17728,2446.8361615,7081.3164835,3033.1094373555434
30249,66.26419059999999,1.3935014220000002,3019.879454725583
30175,709.62549915,4239.263777499999,2938.799525077099
10646,1626.1177065,5721.380413,2931.3164699104063
6641,1312.8604085499999,331.0046333,2912.469090781691
30581,70.020407177,1.64074526,2849.7892255883885
5615,68.92846199499999,1.6519151685,2739.931104941753
17261,1129.5418338250001,271.80745295,2706.7258831580166
28445,828.59766415,4185.37501956,2692.2209267111098
24058,3393.9181715,7908.091395,2576.8240241442454
22225,9.3531051585,0.0337105055,2576.3813211986685
19514,31.328859678500002,0.38208586099999997,2506.5120368625826
25976,9.203359805,0.0337105055,2494.2511845697722
18976,9.203359805,0.0337105055,2494.2511845697722
28950,9.203359805,0.0337105055,2494.2511845697722
14943,9.203359805,0.0337105055,2494.2511845697722
29527,18.40671961,0.1348420225,2475.9455871598548
11845,12.959576407,0.0674210115,2465.220664061377
15078,169.0297469565,10.259464804,2457.048489016334
