,control_day1,covid_day1,chi,control_day3,covid_day3,chi,control_day7,covid_day7,chi,control_day14,covid_day14,chi
164,,,,,,,,,,20.1287911765,5.394082469,40.249966874371175
166,21.461974495,66.35483923000001,30.37260473391109,,,,,,,,,
167,,,,,,,65.915673515,185.10268693999998,76.74412729500668,,,
169,,,,,,,,,,5.8589429305,1.3147097209999998,15.706931448423262
187,,,,0.694486541,1.7339060035,0.6230976862891918,1.2271548945,2.8232742325,0.9023554679212548,,,
188,,,,88.98359852499999,22.916739165,190.46470242853238,,,,,,
203,7.876439049999999,2.640560811,10.3820449123653,,,,,,,,,
209,,,,,,,2.0452581569999997,6.1598710500000005,2.7484405309493987,,,
210,,,,,,,755.2120958999999,501.80550315,127.96771029027384,,,
211,,,,1.043170477,4.334765009,2.4994652629605314,8.85559056,23.194820925000002,8.864630950391271,,,
212,,,,,,,,,,0.6738540915000001,3.67474629,2.450605640864029
214,,,,576.3920914,319.4100059,206.75555257528433,538.47246475,191.1954435,630.7751235100585,12.697210096,42.93892564,21.299120679261858
215,,,,,,,,,,198.5840205,20626.58434778,20231.32818964597
219,52.967730685,25.84123046,28.47569567540342,,,,,,,61.328261435,18.1588930355,102.62709099990222
221,,,,61.515363504999996,23.244067086,63.01359070130856,,,,0.8610357835,2.168843052,0.7886047125282865
228,,,,13.209650932999999,7.802577015,3.7470246430776,18.976265485,3.0799355260000003,82.0449986800798,1.4974535359999999,3.6408350025,1.261821562301268
230,99.684529305,256.53622805000003,95.90246019520141,259.193309,171.45750164999998,44.89492624866039,377.38837309999997,250.86176375,63.815954389770965,,,
231,,,,,,,,,,0.4866723995,2.460967304,1.5838651588744002
232,,,,,,,,,,9.047323073,3.168787532,10.905489799434164
236,,,,,,,4.4277952795,20.938654885,13.019388609715444,,,
243,,,,1.3889730815,16.684404192,14.022089741042594,1.6362065255,10.128331225500002,7.120243237976252,,,
244,,,,,,,1.6362065255,8.983145285,6.008753885565528,,,
246,459.87302669999997,1388.0568255,620.6699527913521,1034.83964815,562.5459119,396.5211880175153,931.94691855,490.50013945,397.29908944833056,,,
247,,,,,,,,,,32.76371136,19.946754525000003,8.235644666121601
248,,,,,,,887.98696625,557.1587105000001,196.43834465832575,209.70890435,134.33302559999998,42.294313494080235
253,,,,,,,,,,4.6483973415,2.3260248905000003,2.3187257467414213
254,27.56753667,0.333001608,2227.3763315980964,8.339601153499999,29.737332415,15.396905705920714,,,,22.761605685,14.7210238,4.391743259690278
256,,,,7.9966798809999995,40.2557992,25.850953152545507,7.2911566995,44.52825764,31.13981457939179,,,
257,,,,,,,,,,1.0482174755,13.709909415,11.693617945819177
263,18.065590635,11.545613362500001,3.6819268322277945,39.631834135,19.93991904,19.446995714015138,25.036181014999997,50.9484465,13.178920039595763,,,
264,95.20447411500001,12.8619850925,527.1570017892661,,,,,,,,,
265,,,,310.23951040000003,660.8651377,186.02635168103902,498.76585255,263.31726710000004,210.52943850185474,,,
266,20.378303165,5.6297579325000005,38.63746702489297,,,,13.017879539499999,35.85921577,14.549304260893262,183.64125395,76.28968526000001,151.0605170401221
267,,,,,,,,,,303.79676930000005,76.1186229475,681.0073056926334
275,,,,289.7535981,169.62632925000003,85.07264635840822,229.03391745,113.20956969,118.49951881951559,103.245625415,41.139392285,93.75890063899398
276,,,,0.694486541,3.3041480460000003,2.0611464970292275,,,,,,
279,,,,,,,205.8101785,128.35989905,46.73224138752619,,,
280,,,,,,,,,,0.14974535349999998,3.3151006355000003,3.022374028103709
297,,,,,,,,,,188.02068164999997,103.40420209999999,69.24233702331875
298,731.95376305,230.97166158000002,1086.6400850927166,624.0349694500001,403.4913426,120.54655505303045,,,,,,
299,,,,5.215852385,1.7339060035,6.992276731938164,,,,,,
301,42.778579101000005,131.8936172,60.21132928171918,,,,,,,,,
304,,,,,,,,,,6.370468907999999,3.0342466825,3.668251102362429
306,37.36022247,4.6073010535000005,232.83780435847396,,,,9.1508537745,0.5133225875,145.34124705041862,,,
307,,,,,,,,,,39.82061712,13.877558423499998,48.498610057395055
310,298.40602624999997,113.899040205,298.88599445735605,,,,,,,,,
318,3.938219524,0.333001608,39.0316320089583,,,,1.2271548945,38.6018115925,36.18651316262978,14.687627412,9.1469177215,3.356263258194719
321,,,,,,,106.174882675,51.845581349999996,56.932006655233465,,,
323,,,,35.78478551,91.927886995,34.28826602450299,86.32623934499999,42.87340563,44.0400926895865,,,
327,,,,,,,,,,276.09892255,121.17034132999999,198.09191767044555
328,59.905868285,6.327030555,453.7186643154549,11.11178465,41.826041245,22.554502652011642,21.945242765,45.811564105,12.433570113402254,203.56492512,52.375658625,436.4278159623072
330,124.29179174,68.79529341,44.76848886357111,261.03469394999996,150.22603530000004,81.73389391054643,,,,,,
331,6122.9401275,2095.2940240000003,7742.079607553316,5747.696706,13111.278221499999,4135.548938813529,4175.078502,12510.612369500002,5553.774891597606,,,
332,30.56745475,7.580863474500001,69.69962989628202,7.6422332795,26.875543055,13.764194612302834,8.2189621005,53.51871596,38.3429920341326,,,
334,,,,,,,0.4090516315,20.7895648,19.979509961237955,,,
335,,,,,,,,,,0.8610357835,2.3149553735,0.9131416520525719
338,,,,,,,,,,38.27314448,25.373242418000004,6.558384240681072
339,,,,,,,0.4090516315,14.886355045,14.079491822743822,,,
341,,,,,,,,,,119.31777349999999,71.67054285,31.676313563938603
343,233.62363695,90.31999316,227.3686434753402,62.881285925,128.99456895,33.884885448456345,,,,,,
345,19.149261956,10.577877948000001,6.9454974025758265,5.5587736585,36.624323235000006,26.350476547992912,2.4543097885,38.567605755,33.81517001207547,159.014746605,70.056153045,112.96126070596563
346,,,,,,,,,,11.680449518,0.471947079,266.19621672681006
348,,,,5.555892325,19.07296604,9.579594565080235,11.010550855,23.7081435125,6.800568724868349,139.734408435,39.520585280000006,254.11593174010838
352,,,,,,,,,,4.155433563,10.3267854215,3.6880386496768467
356,10.730987244,2.632743459,24.90996689293878,,,,0.4090516315,2.3099516445,1.5642841996398333,,,
357,,,,12.858085665,52.720469146,30.14027838761868,,,,,,
360,,,,,,,29.08468158,133.03229080999998,81.22167481927299,,,
361,7.876439049999999,3.306564027,6.315848583396946,,,,,,,,,
362,,,,,,,11.38575929,2.4822780134999998,31.935173421293353,,,
364,,,,0.694486541,13.87124803,12.517045543593637,3.533833074,21.340749744500002,14.858254049478802,1.7969442435,7.4954041195,4.332314100837046
365,292.30046405,151.4156345,131.086431482956,,,,163.0709889,105.540280215,31.360371936248942,,,
374,,,,177.86346905,816.1385470499999,499.17391681653686,,,,,,
376,,,,3.1295114314999997,6.935624015,2.088707947107056,,,,,,
377,,,,,,,,,,4.3800515935,11.3944520875,4.318050039826229
381,,,,,,,19.157740285,4.3632419955,50.16388728009032,,,
382,,,,,,,494.08889605,214.33647885,365.13343575086384,48.381267785,16.1589036815,64.25440542771672
383,,,,0.694486541,6.60829609,5.292308774536702,,,,,,
384,,,,,,,,,,5.971251946,0.10113151699999999,340.7277461383591
386,,,,,,,28.532084615000002,13.3500438,17.265438732742282,,,
388,44.549455975,24.4075984595,16.621644478783132,55.264984639999994,33.483839145000005,14.168575384080507,,,,,,
